Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""txt-expiry-date""), expiry)",Chrome 91.0.4472.164,,,2021-07-23 21:24:54,2021-07-23 21:24:54,0.297s,PASSED
"setText(findTestObject(""txt-cvv""), cvv)",Chrome 91.0.4472.164,,,2021-07-23 21:24:54,2021-07-23 21:24:55,0.258s,PASSED
"click(findTestObject(""btn-pay-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:55,2021-07-23 21:24:55,0.210s,PASSED
"verifyElementText(findTestObject(""txt-invalid-card-number""), ""Invalid card number"")",Chrome 91.0.4472.164,,,2021-07-23 21:24:55,2021-07-23 21:24:55,0.140s,PASSED
"setText(findTestObject(""txt-cardnumber""), cardnumber)",Chrome 91.0.4472.164,,,2021-07-23 21:24:55,2021-07-23 21:24:55,0.344s,PASSED
"setText(findTestObject(""txt-expiry-date""), expiryinvalid)",Chrome 91.0.4472.164,,,2021-07-23 21:24:55,2021-07-23 21:24:56,0.260s,PASSED
"verifyElementText(findTestObject(""txt-expiry-date-warning""), ""Expiry date"")",Chrome 91.0.4472.164,,,2021-07-23 21:24:56,2021-07-23 21:24:56,0.130s,PASSED
"setText(findTestObject(""txt-expiry-date""), expiry)",Chrome 91.0.4472.164,,,2021-07-23 21:24:56,2021-07-23 21:24:56,0.253s,PASSED
"setText(findTestObject(""txt-cvv""), ccinvalid)",Chrome 91.0.4472.164,,,2021-07-23 21:24:56,2021-07-23 21:24:56,0.246s,PASSED
"click(findTestObject(""btn-pay-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:56,2021-07-23 21:24:56,0.155s,PASSED
"verifyElementVisible(findTestObject(""txt-process-failed""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:56,2021-07-23 21:24:57,0.645s,FAILED
